t;x;y
0.0343;-0.0049;0.3008
0.0686;-0.0021;0.3000
0.1029;0.0024;0.2983
0.1372;0.0084;0.2976
0.1715;0.0191;0.2991
0.2059;0.0263;0.2976
0.2402;0.0340;0.2968
0.2745;0.0430;0.2939
0.3088;0.0532;0.2919
0.3431;0.0649;0.2889
0.3774;0.0807;0.2869
0.4117;0.0966;0.2839
0.4460;0.1124;0.2790
0.4803;0.1313;0.2742
0.5146;0.1540;0.2687
0.5489;0.1758;0.2615
0.5832;0.2000;0.2523
0.6176;0.2273;0.2423
0.6519;0.2565;0.2296
0.6862;0.2879;0.2150
0.7205;0.3262;0.1992
0.7548;0.3649;0.1838
0.7891;0.4153;0.1687
0.8234;0.4566;0.1616
0.8577;0.5111;0.1579
0.8920;0.5494;0.1578
0.9263;0.6076;0.1645
0.9606;0.6529;0.1718
0.9949;0.6970;0.1802
1.0293;0.7375;0.1873
1.0636;0.7800;0.1943
1.0979;0.8080;0.1999
1.1322;0.8574;0.2049
1.1665;0.8952;0.2079
1.2008;0.9338;0.2082
1.2351;0.9674;0.2051
1.2694;0.9993;0.2014
1.3037;1.0398;0.1856
1.3380;1.1236;0.1387
1.3723;1.1687;0.1124
1.4067;1.2437;0.0940
1.4410;1.2827;0.0986
1.4753;1.3459;0.1174
1.5096;1.3800;0.1276
1.5439;1.4201;0.1452
